week,date,time,away_team,home_team,week
9,10/31/19,8:20PM,San Francisco 49ers,Arizona Cardinals,9
9,11/3/19,9:30AM,Houston Texans,Jacksonville Jaguars,9
9,11/3/19,1:00PM,Washington Redskins,Buffalo Bills,9
9,11/3/19,1:00PM,Indianapolis Colts,Pittsburgh Steelers,9
9,11/3/19,1:00PM,Minnesota Vikings,Kansas City Chiefs,9
9,11/3/19,1:00PM,Chicago Bears,Philadelphia Eagles,9
9,11/3/19,1:00PM,Tennessee Titans,Carolina Panthers,9
9,11/3/19,1:00PM,New York Jets,Miami Dolphins,9
9,11/3/19,4:05PM,Tampa Bay Buccaneers,Seattle Seahawks,9
9,11/3/19,4:05PM,Detroit Lions,Oakland Raiders,9
9,11/3/19,4:25PM,Green Bay Packers,Los Angeles Chargers,9
9,11/3/19,4:25PM,Cleveland Browns,Denver Broncos,9
9,11/3/19,8:20PM,New England Patriots,Baltimore Ravens,9
9,11/4/19,8:15PM,Dallas Cowboys,New York Giants,9
10,11/7/19,8:20PM,Los Angeles Chargers,Oakland Raiders,10
10,11/10/19,1:00PM,Detroit Lions,Chicago Bears,10
10,11/10/19,1:00PM,Arizona Cardinals,Tampa Bay Buccaneers,10
10,11/10/19,1:00PM,Kansas City Chiefs,Tennessee Titans,10
10,11/10/19,1:00PM,Buffalo Bills,Cleveland Browns,10
10,11/10/19,1:00PM,Baltimore Ravens,Cincinnati Bengals,10
10,11/10/19,1:00PM,New York Giants,New York Jets,10
10,11/10/19,1:00PM,Carolina Panthers,Green Bay Packers,10
10,11/10/19,1:00PM,Atlanta Falcons,New Orleans Saints,10
10,11/10/19,4:05PM,Miami Dolphins,Indianapolis Colts,10
10,11/10/19,4:25PM,Los Angeles Rams,Pittsburgh Steelers,10
10,11/10/19,8:20PM,Minnesota Vikings,Dallas Cowboys,10
10,11/11/19,8:15PM,Seattle Seahawks,San Francisco 49ers,10
11,11/14/19,8:20PM,Pittsburgh Steelers,Cleveland Browns,11
11,11/17/19,1:00PM,New Orleans Saints,Tampa Bay Buccaneers,11
11,11/17/19,1:00PM,Atlanta Falcons,Carolina Panthers,11
11,11/17/19,1:00PM,Denver Broncos,Minnesota Vikings,11
11,11/17/19,1:00PM,Houston Texans,Baltimore Ravens,11
11,11/17/19,1:00PM,Dallas Cowboys,Detroit Lions,11
11,11/17/19,1:00PM,Jacksonville Jaguars,Indianapolis Colts,11
11,11/17/19,1:00PM,Buffalo Bills,Miami Dolphins,11
11,11/17/19,1:00PM,New York Jets,Washington Redskins,11
11,11/17/19,4:05PM,Arizona Cardinals,San Francisco 49ers,11
11,11/17/19,4:25PM,New England Patriots,Philadelphia Eagles,11
11,11/17/19,4:25PM,Cincinnati Bengals,Oakland Raiders,11
11,11/17/19,8:20PM,Chicago Bears,Los Angeles Rams,11
11,11/18/19,8:15PM,Kansas City Chiefs,Los Angeles Chargers,11
12,11/21/19,8:20PM,Indianapolis Colts,Houston Texans,12
12,11/24/19,1:00PM,Oakland Raiders,New York Jets,12
12,11/24/19,1:00PM,Detroit Lions,Washington Redskins,12
12,11/24/19,1:00PM,Pittsburgh Steelers,Cincinnati Bengals,12
12,11/24/19,1:00PM,Denver Broncos,Buffalo Bills,12
12,11/24/19,1:00PM,Tampa Bay Buccaneers,Atlanta Falcons,12
12,11/24/19,1:00PM,Miami Dolphins,Cleveland Browns,12
